weightkg,stature,chestcircumference,waistcircumference
65.7,1.56,92.2,85.0
53.4,1.665,83.9,70.8
66.3,1.711,87.4,72.7
78.2,1.66,100.8,92.3
88.6,1.572,108.9,116.3
83.7,1.707,103.1,96.8
73.2,1.644,98.8,96.4
76.0,1.671,96.8,91.4
54.5,1.521,83.1,75.5
68.4,1.59,101.0,94.4
99.0,1.707,106.5,93.5
74.2,1.668,103.4,94.2
78.1,1.654,106.3,99.5
71.8,1.666,93.7,84.8
70.9,1.599,98.9,92.9
67.2,1.673,94.0,83.5
62.0,1.647,83.5,77.2
59.5,1.678,89.7,80.5
74.1,1.679,97.9,86.8
60.5,1.615,85.3,79.2
80.0,1.517,109.0,113.7
74.7,1.674,94.1,88.1
49.1,1.623,85.7,70.2
70.3,1.668,97.3,95.4
71.5,1.644,97.5,79.6
70.8,1.579,102.6,100.0
48.8,1.446,83.2,74.2
69.1,1.62,92.1,91.2
73.0,1.684,103.2,91.3
61.0,1.619,90.4,82.1
65.8,1.592,95.1,93.0
70.9,1.655,95.0,90.1
72.8,1.723,96.5,93.5
84.6,1.677,111.5,107.7
94.5,1.654,117.0,111.2
62.7,1.634,89.5,81.2
57.8,1.683,94.4,86.9
52.4,1.552,83.3,71.2
73.2,1.617,102.5,105.7
79.1,1.588,98.2,96.4
89.4,1.641,106.0,113.4
68.9,1.685,99.1,86.9
75.8,1.656,99.4,94.2
73.1,1.603,107.1,101.9
74.8,1.608,94.5,86.5
80.6,1.664,109.4,97.5
71.4,1.619,93.2,81.4
71.2,1.62,101.3,94.7
65.7,1.72,91.0,79.4
47.7,1.582,79.3,67.9
69.6,1.72,95.4,89.0
119.6,1.72,116.1,133.4
88.7,1.701,113.5,107.6
75.4,1.627,109.5,100.7
67.8,1.536,101.4,89.7
60.7,1.546,94.6,83.2
57.2,1.654,81.4,76.6
68.9,1.605,94.0,87.8
71.2,1.63,98.8,94.3
60.4,1.612,90.4,82.5
69.7,1.757,87.6,81.2
85.4,1.67,109.0,106.2
61.7,1.632,94.3,91.4
79.0,1.635,113.2,98.7
67.2,1.682,97.7,86.8
69.5,1.661,97.7,83.9
66.9,1.596,100.6,81.4
57.4,1.596,93.6,80.4
81.5,1.665,106.5,92.5
61.8,1.617,89.0,80.5
64.5,1.555,90.0,81.1
55.7,1.578,86.2,75.7
61.4,1.581,89.6,83.9
66.8,1.698,94.3,82.1
73.0,1.554,109.2,100.1
73.7,1.756,92.0,86.0
69.3,1.566,107.1,92.2
75.7,1.651,100.1,101.2
74.0,1.585,112.6,98.1
68.2,1.657,98.2,87.0
86.7,1.719,106.9,93.1
88.2,1.822,106.1,89.5
78.6,1.649,103.1,92.5
62.2,1.687,92.4,75.1
78.2,1.698,99.9,101.9
60.8,1.53,86.5,78.4
67.4,1.581,99.8,91.7
68.6,1.609,93.0,86.5
67.0,1.644,93.4,84.7
63.5,1.548,85.6,78.5
77.3,1.606,97.9,100.4
55.5,1.642,85.2,75.9
72.7,1.622,101.4,95.5
59.3,1.669,84.1,69.4
99.8,1.745,105.7,106.8
58.1,1.495,98.6,94.8
64.2,1.493,95.1,91.2
75.8,1.641,106.8,98.9
68.3,1.607,94.5,88.7
47.1,1.56,82.6,69.8
