weightkg,stature,chestcircumference,waistcircumference
81.5,1.776,107.4,93.3
72.6,1.702,102.1,87.0
92.9,1.735,112.0,96.4
79.4,1.655,111.4,85.7
94.6,1.914,104.8,86.8
80.2,1.72,106.6,95.0
116.2,1.81,120.8,107.3
95.4,1.85,108.7,101.0
99.5,1.777,118.1,106.5
70.2,1.811,96.4,82.4
88.2,1.78,111.7,99.4
70.1,1.733,96.1,86.6
103.7,1.814,115.1,98.6
111.6,1.861,123.1,104.5
89.6,1.709,106.0,100.7
92.4,1.74,109.2,103.3
77.9,1.694,108.5,90.8
96.9,1.766,111.8,102.8
76.0,1.748,99.9,87.4
90.8,1.794,112.7,99.9
71.4,1.78,100.0,83.7
74.6,1.68,97.7,88.0
79.2,1.653,107.9,97.8
91.5,1.959,101.1,82.7
96.5,1.755,109.8,103.0
67.5,1.63,95.7,88.5
107.3,1.825,115.8,113.0
79.3,1.795,96.4,91.2
78.2,1.745,97.1,86.4
88.2,1.818,105.7,96.5
71.5,1.881,95.7,77.7
94.7,1.76,110.8,106.3
66.5,1.675,94.7,87.0
87.9,1.852,104.3,96.6
67.5,1.785,96.5,80.6
88.4,1.791,117.4,109.6
69.5,1.685,95.1,89.5
121.8,1.85,118.2,121.4
71.9,1.737,98.1,79.0
88.1,1.743,108.6,100.2
57.5,1.744,86.5,74.8
87.6,1.679,120.5,104.3
85.0,1.836,101.3,86.4
86.5,1.73,115.2,96.9
95.8,1.762,109.6,109.5
66.7,1.669,95.7,77.0
70.6,1.74,98.5,84.0
84.7,1.709,106.3,102.8
101.3,1.879,113.7,102.1
85.6,1.674,110.6,106.1
109.5,1.779,116.6,113.9
83.4,1.844,108.1,92.2
72.7,1.637,100.6,99.5
98.6,1.754,115.3,104.7
77.3,1.704,103.7,88.5
140.0,1.84,146.9,137.9
67.4,1.783,90.1,75.0
88.4,1.748,107.1,97.0
98.8,1.703,126.3,106.8
95.2,1.852,114.6,101.2
56.6,1.609,85.8,75.4
71.7,1.709,104.4,92.6
71.7,1.835,90.4,82.7
80.2,1.679,103.3,94.0
98.8,1.742,116.0,113.3
66.2,1.698,97.1,84.3
80.7,1.671,105.0,102.1
105.3,1.85,121.3,106.1
68.3,1.754,94.4,78.6
74.9,1.619,98.9,85.5
73.8,1.772,97.5,83.0
60.4,1.705,93.9,74.3
77.4,1.619,109.1,96.7
76.8,1.726,98.3,92.2
102.2,1.84,112.9,112.0
96.3,1.743,120.5,106.0
92.3,1.674,112.3,103.0
98.8,1.75,112.9,97.4
88.7,1.819,104.8,84.4
98.7,1.799,106.3,96.9
85.2,1.75,109.8,101.0
74.8,1.723,97.2,89.2
92.0,1.809,112.7,103.2
74.4,1.791,96.3,85.1
82.3,1.723,109.8,97.9
62.7,1.578,95.3,85.7
77.8,1.718,102.4,97.9
88.2,1.799,104.3,98.4
59.0,1.74,90.2,72.1
73.0,1.702,100.8,88.5
86.4,1.737,102.7,96.1
86.6,1.73,104.4,99.6
73.7,1.785,91.7,83.8
65.4,1.817,91.7,75.2
69.6,1.843,92.4,77.5
77.5,1.791,99.4,80.9
72.7,1.657,100.1,86.2
79.7,1.701,106.9,102.7
74.4,1.786,99.5,79.7
96.8,1.755,110.4,108.2
