id,gender,age,class,embarked,country,fare,sibsp,parch,survived
0,male,42.0,3rd,Southampton,United States,7.11,0.0,0.0,no
1,male,13.0,3rd,Southampton,United States,20.05,0.0,2.0,no
2,male,16.0,3rd,Southampton,United States,20.05,1.0,1.0,no
3,female,39.0,3rd,Southampton,England,20.05,1.0,1.0,yes
4,female,16.0,3rd,Southampton,Norway,7.13,0.0,0.0,yes
5,male,25.0,3rd,Southampton,United States,7.13,0.0,0.0,yes
6,male,30.0,2nd,Cherbourg,France,24.0,1.0,0.0,no
7,female,28.0,2nd,Cherbourg,France,24.0,1.0,0.0,yes
8,male,27.0,3rd,Cherbourg,Lebanon,18.1509,0.0,0.0,yes
9,male,20.0,3rd,Southampton,Finland,7.1806,0.0,0.0,yes
10,male,30.0,3rd,Southampton,Sweden,7.05,0.0,0.0,no
11,male,27.0,3rd,Southampton,England,8.01,0.0,0.0,no
12,female,40.0,3rd,Southampton,Sweden,9.0906,1.0,0.0,no
13,male,0.8333333333,3rd,Southampton,England,9.07,0.0,1.0,yes
14,female,18.0,3rd,Southampton,England,9.07,0.0,1.0,yes
15,male,35.0,2nd,Southampton,England,13.0,0.0,0.0,no
16,male,25.0,3rd,Southampton,England,7.1709,0.0,0.0,no
17,male,19.0,3rd,Southampton,Finland,7.1806,0.0,0.0,no
18,male,24.0,3rd,Southampton,Argentina,7.01,0.0,0.0,no
19,male,25.0,3rd,Southampton,Argentina,7.01,0.0,0.0,no
20,female,29.0,1st,Southampton,United States,211.6009,0.0,0.0,yes
21,male,39.0,3rd,Southampton,England,8.01,0.0,0.0,no
22,male,0.9166666667,1st,Southampton,Canada,151.16,1.0,2.0,yes
23,female,2.0,1st,Southampton,Canada,151.16,1.0,2.0,no
24,male,30.0,1st,Southampton,Canada,151.16,1.0,2.0,no
25,female,25.0,1st,Southampton,United States,151.16,1.0,2.0,no
26,male,18.0,3rd,Southampton,England,8.06,0.0,0.0,no
27,male,19.0,3rd,Cherbourg,Lebanon,7.0407,0.0,0.0,no
28,female,19.0,3rd,Southampton,Denmark,7.1701,1.0,0.0,yes
29,male,33.0,3rd,Southampton,Norway,22.1006,0.0,0.0,no
30,male,47.0,1st,Southampton,United States,26.11,0.0,0.0,yes
31,male,4.0,3rd,Southampton,Sweden,31.0506,4.0,2.0,no
32,female,6.0,3rd,Southampton,Sweden,31.0506,4.0,2.0,no
33,female,2.0,3rd,Southampton,Sweden,31.0506,4.0,2.0,no
34,female,16.0,3rd,Southampton,Finland,7.1806,4.0,2.0,yes
35,female,38.0,3rd,Southampton,Sweden,7.1506,4.0,2.0,no
36,female,9.0,3rd,Southampton,Sweden,31.0506,4.0,2.0,no
37,female,11.0,3rd,Southampton,Sweden,31.0506,4.0,2.0,no
38,male,39.0,3rd,Southampton,Sweden,31.0506,1.0,5.0,no
39,male,26.0,3rd,Southampton,Sweden,7.1506,0.0,0.0,no
40,female,39.0,3rd,Southampton,Sweden,31.0506,1.0,5.0,no
41,male,20.0,3rd,Southampton,Sweden,7.1701,0.0,0.0,no
42,male,17.0,2nd,Southampton,Argentina,11.1,0.0,0.0,no
43,male,27.0,2nd,Southampton,England,10.1,0.0,0.0,no
44,female,62.0,1st,Cherbourg,United States,77.1902,1.0,0.0,yes
45,male,39.0,1st,Belfast,Northern Ireland,,0.0,0.0,no
46,male,26.0,3rd,Southampton,Bulgaria,7.1711,0.0,0.0,no
47,female,36.0,2nd,Southampton,England,26.0,1.0,0.0,yes
48,male,31.0,2nd,Southampton,England,26.0,1.0,0.0,no
49,female,53.0,1st,Southampton,United States,51.0907,2.0,0.0,yes
50,male,25.0,3rd,Southampton,Switzerland,17.16,1.0,0.0,no
51,female,18.0,3rd,Southampton,Switzerland,17.16,1.0,0.0,no
52,male,25.0,3rd,Southampton,Sweden,7.1506,0.0,0.0,no
53,male,71.0,1st,Cherbourg,Argentina,49.1001,0.0,0.0,no
54,male,57.0,2nd,Southampton,England,13.0,0.0,0.0,no
55,male,35.0,3rd,Southampton,Argentina,7.01,0.0,0.0,no
56,male,5.0,3rd,Southampton,Sweden,31.0709,4.0,2.0,no
57,male,9.0,3rd,Southampton,Sweden,31.0709,4.0,2.0,no
58,male,3.0,3rd,Southampton,Sweden,31.0709,4.0,2.0,yes
59,male,13.0,3rd,Southampton,Sweden,31.0709,4.0,2.0,no
60,female,5.0,3rd,Southampton,Sweden,31.0709,4.0,2.0,yes
61,male,40.0,3rd,Southampton,Sweden,31.0709,1.0,5.0,no
62,male,13.0,3rd,Southampton,Sweden,7.1511,0.0,0.0,yes
63,female,38.0,3rd,Southampton,Sweden,31.0709,1.0,5.0,yes
64,female,45.0,3rd,Cherbourg,Lebanon,7.0406,0.0,0.0,yes
65,male,23.0,3rd,Southampton,Argentina,7.01,0.0,0.0,no
66,male,47.0,1st,Cherbourg,United States,247.1006,1.0,0.0,no
67,female,18.0,1st,Cherbourg,United States,247.1006,1.0,0.0,yes
68,female,17.0,3rd,Cherbourg,Lebanon,14.0902,0.0,0.0,no
69,male,27.0,3rd,Cherbourg,Canada,7.0406,0.0,0.0,no
70,female,24.0,1st,Cherbourg,France,69.06,0.0,0.0,yes
71,male,23.0,3rd,Southampton,Sweden,7.1701,0.0,0.0,no
72,female,15.0,3rd,Cherbourg,Lebanon,7.0407,0.0,0.0,yes
73,male,32.0,3rd,Southampton,Finland,15.17,1.0,0.0,no
74,female,33.0,3rd,Southampton,Finland,15.17,3.0,0.0,yes
75,female,3.0,3rd,Cherbourg,Lebanon,19.0502,2.0,1.0,yes
76,female,0.75,3rd,Cherbourg,Lebanon,19.0502,2.0,1.0,yes
77,female,5.0,3rd,Cherbourg,Lebanon,19.0502,2.0,1.0,yes
78,female,23.0,3rd,Cherbourg,Lebanon,19.0502,0.0,3.0,yes
79,female,18.0,3rd,Southampton,England,8.01,0.0,0.0,yes
80,male,40.0,3rd,Cherbourg,Lebanon,7.0406,0.0,0.0,no
81,male,18.0,2nd,Southampton,England,11.1,0.0,0.0,no
82,male,22.0,2nd,Southampton,Channel Islands,10.1,0.0,0.0,no
83,male,26.0,3rd,Southampton,Bosnia,7.1711,0.0,0.0,no
84,female,36.0,2nd,Southampton,England,13.0,0.0,0.0,yes
85,male,28.0,2nd,Southampton,England,10.1,0.0,0.0,no
86,female,31.0,3rd,Southampton,Hungary,8.1308,0.0,0.0,yes
87,female,18.0,3rd,Cherbourg,Lebanon,14.0901,0.0,1.0,no
88,female,45.0,3rd,Cherbourg,Lebanon,14.0901,0.0,1.0,no
89,female,27.0,1st,Southampton,,78.17,0.0,0.0,yes
90,male,47.0,1st,Southampton,England,30.0,0.0,0.0,yes
91,female,33.0,3rd,Queenstown,Ireland,7.1707,0.0,0.0,no
92,male,22.0,3rd,Southampton,England,8.01,0.0,0.0,no
93,female,32.0,1st,Cherbourg,Italy,76.051,0.0,0.0,yes
94,male,52.0,2nd,Southampton,England,12.1006,0.0,0.0,no
95,male,23.0,3rd,Southampton,Bulgaria,7.1711,0.0,0.0,no
96,male,60.0,1st,Cherbourg,United States,25.1806,0.0,0.0,no
97,male,24.0,1st,Cherbourg,Canada,247.1005,0.0,1.0,no
98,female,50.0,1st,Cherbourg,Canada,247.1005,0.0,1.0,yes
99,male,32.0,2nd,Southampton,England,26.0,1.0,0.0,yes
100,female,22.0,2nd,Southampton,England,26.0,1.0,0.0,yes
101,male,36.0,1st,Southampton,Canada,75.041,0.0,0.0,no
102,male,44.0,2nd,Southampton,England,26.0,0.0,0.0,no
103,male,20.0,3rd,Southampton,England,8.01,0.0,0.0,no
104,male,1.0,2nd,Southampton,India,39.0,2.0,1.0,yes
105,female,4.0,2nd,Southampton,India,39.0,2.0,1.0,yes
106,female,12.0,2nd,Southampton,India,39.0,2.0,1.0,yes
107,female,35.0,2nd,Southampton,United States,39.0,0.0,3.0,yes
108,male,37.0,1st,Southampton,United States,52.1101,1.0,1.0,yes
109,female,46.0,1st,Southampton,United States,52.1101,1.0,1.0,yes
110,male,34.0,2nd,Southampton,England,13.0,0.0,0.0,yes
111,male,26.0,1st,Cherbourg,United States,30.0,0.0,0.0,yes
112,male,26.0,3rd,Southampton,Sweden,7.1506,0.0,0.0,no
113,female,19.0,2nd,Southampton,United States,13.0,0.0,0.0,yes
114,male,22.0,3rd,Southampton,Finland,9.07,0.0,0.0,no
115,male,23.0,2nd,Southampton,England,13.0,0.0,0.0,no
116,female,39.0,1st,Cherbourg,United States,63.0702,0.0,0.0,yes
117,female,46.0,1st,Cherbourg,,247.1006,0.0,0.0,yes
118,male,32.0,3rd,Southampton,,56.0911,0.0,0.0,yes
119,female,31.0,1st,Southampton,England,221.1507,0.0,0.0,yes
120,male,21.0,3rd,Southampton,Norway,7.1506,0.0,0.0,no
121,male,24.0,1st,Cherbourg,,26.0,0.0,0.0,no
122,male,25.0,1st,Cherbourg,United States,91.0107,1.0,0.0,yes
123,female,19.0,1st,Cherbourg,United States,91.0107,1.0,0.0,yes
124,male,18.0,3rd,Southampton,Sweden,7.15,0.0,0.0,no
125,male,28.0,1st,Southampton,Sweden,26.11,0.0,0.0,yes
126,male,45.0,1st,Southampton,United States,35.1,0.0,0.0,no
127,male,39.0,1st,Cherbourg,United States,31.0,0.0,0.0,yes
128,female,30.0,1st,Southampton,United States,164.1704,0.0,0.0,yes
129,female,61.0,1st,Southampton,England,26.11,0.0,0.0,yes
130,male,41.0,1st,Southampton,England,26.11,0.0,0.0,no
131,male,26.0,3rd,Southampton,,7.1711,0.0,0.0,no
132,male,25.0,2nd,Southampton,United States,13.0,0.0,0.0,no
133,female,40.0,3rd,Queenstown,Ireland,7.15,0.0,2.0,no
134,male,42.0,3rd,Queenstown,Ireland,15.1,1.0,1.0,no
135,female,32.0,3rd,Queenstown,Ireland,15.1,1.0,1.0,no
136,female,45.0,1st,Cherbourg,United States,262.0706,0.0,0.0,yes
137,male,26.0,3rd,Southampton,Wales,16.02,0.0,0.0,no
138,male,42.0,2nd,Southampton,,13.0,0.0,0.0,no
139,female,22.0,1st,Southampton,England,55.0,0.0,1.0,yes
140,male,30.0,2nd,Southampton,United States,13.0,0.0,0.0,no
141,female,22.0,3rd,Queenstown,Ireland,7.1406,0.0,0.0,yes
142,male,41.0,1st,Southampton,United States,30.1,0.0,0.0,no
143,female,20.0,3rd,Southampton,Sweden,7.1701,0.0,0.0,no
144,male,24.0,2nd,Southampton,England,,,,no
145,male,48.0,1st,Cherbourg,United States,50.0911,0.0,0.0,no
146,male,29.0,3rd,Southampton,England,7.0,1.0,0.0,no
147,male,23.0,3rd,Southampton,England,7.05,1.0,0.0,no
148,male,37.0,1st,Southampton,United States,26.11,0.0,0.0,yes
149,male,46.0,1st,Cherbourg,United States,39.12,0.0,0.0,no
150,male,20.0,2nd,Southampton,France,,,,no
151,male,32.0,2nd,Southampton,,13.0,0.0,0.0,no
152,male,22.0,3rd,Southampton,Sweden,7.1511,0.0,0.0,no
153,male,40.0,3rd,Southampton,England,8.01,0.0,0.0,no
154,female,18.0,2nd,Southampton,England,13.0,0.0,0.0,yes
155,female,15.0,2nd,Southampton,South Africa,39.0,0.0,2.0,yes
156,female,59.0,1st,Southampton,United States,51.0907,2.0,0.0,yes
157,female,40.0,2nd,Southampton,South Africa,39.0,1.0,1.0,yes
158,female,44.0,1st,Cherbourg,United States,27.1405,0.0,0.0,yes
159,male,60.0,2nd,Southampton,South Africa,39.0,1.0,1.0,no
160,female,20.0,2nd,Southampton,Sweden,26.0,1.0,0.0,yes
161,male,25.0,2nd,Southampton,Sweden,26.0,1.0,0.0,no
162,female,22.0,3rd,Queenstown,Ireland,7.0508,0.0,0.0,no
163,male,21.0,3rd,Queenstown,Ireland,7.1517,0.0,0.0,yes
164,female,58.0,1st,Cherbourg,India,76.051,0.0,0.0,yes
165,male,7.0,3rd,Cherbourg,Lebanon,15.0411,1.0,1.0,no
166,female,10.0,3rd,Cherbourg,Lebanon,15.0411,1.0,1.0,no
167,female,40.0,3rd,Cherbourg,Lebanon,15.0411,0.0,2.0,no
168,male,19.0,3rd,Queenstown,Ireland,6.15,0.0,0.0,no
169,female,41.0,1st,Cherbourg,,134.1,0.0,0.0,yes
170,female,17.0,3rd,Queenstown,Ireland,7.1707,0.0,0.0,no
171,female,36.0,2nd,Southampton,England,13.0,0.0,0.0,yes
172,male,26.0,2nd,Southampton,England,13.0,0.0,0.0,no
173,male,21.0,3rd,Cherbourg,Lebanon,7.0407,0.0,0.0,no
174,male,46.0,1st,Southampton,United States,26.11,0.0,0.0,no
175,male,42.0,2nd,Southampton,England,13.0,0.0,0.0,no
176,female,40.0,2nd,Southampton,United States,13.0,0.0,0.0,yes
177,female,21.0,3rd,Southampton,Croatia (Modern),8.1303,0.0,0.0,no
178,female,30.0,3rd,Southampton,Croatia (Modern),8.1303,0.0,0.0,no
179,male,18.0,3rd,Southampton,Croatia (Modern),8.1303,0.0,0.0,no
180,male,38.0,3rd,Southampton,Croatia (Modern),8.1303,0.0,0.0,no
181,male,28.0,1st,Southampton,Scotland,31.0,0.0,0.0,no
182,male,42.0,1st,Southampton,United States,26.0509,0.0,0.0,yes
183,male,0.8333333333,2nd,Southampton,Siam,29.0,0.0,2.0,yes
184,male,26.0,2nd,Southampton,Siam,29.0,1.0,1.0,yes
185,female,28.0,2nd,Southampton,United States,29.0,1.0,1.0,yes
186,male,17.0,3rd,Southampton,Croatia (Modern),8.1303,0.0,0.0,no
187,male,17.0,3rd,Southampton,Croatia (Modern),8.1303,0.0,0.0,no
188,female,35.0,2nd,Southampton,England,21.0,0.0,0.0,yes
189,male,21.0,2nd,Belfast,Northern Ireland,,0.0,0.0,no
190,female,22.0,3rd,Queenstown,Ireland,7.15,0.0,0.0,no
191,male,21.0,3rd,Queenstown,Ireland,7.15,0.0,0.0,no
192,female,52.0,1st,Cherbourg,United States,27.0811,0.0,0.0,yes
193,male,29.0,3rd,Southampton,England,8.01,0.0,0.0,no
194,male,28.0,3rd,Cherbourg,Canada,14.0902,1.0,0.0,no
195,female,18.0,3rd,Cherbourg,Lebanon,14.0902,1.0,0.0,no
196,male,19.0,2nd,Southampton,England,13.0,0.0,0.0,no
197,female,58.0,1st,Cherbourg,United States,512.0607,0.0,1.0,yes
198,male,36.0,1st,Cherbourg,United States,512.0607,0.0,1.0,yes
199,male,28.0,3rd,Southampton,Sweden,7.1511,0.0,0.0,no
200,male,24.0,3rd,Southampton,Sweden,7.1701,0.0,0.0,no
201,male,33.0,1st,Southampton,United States,5.0,0.0,0.0,no
202,male,17.0,1st,Southampton,Uruguay,47.02,0.0,0.0,no
203,male,27.0,1st,Southampton,Uruguay,47.02,0.0,0.0,no
204,female,45.0,3rd,Queenstown,Ireland,7.15,0.0,0.0,no
205,male,54.0,2nd,Southampton,England,26.0,1.0,0.0,no
206,male,11.0,1st,Southampton,United States,120.0,1.0,2.0,yes
207,female,13.0,1st,Southampton,United States,120.0,1.0,2.0,yes
208,female,45.0,2nd,Southampton,England,26.0,1.0,0.0,no
209,female,36.0,1st,Southampton,United States,120.0,1.0,2.0,yes
210,male,36.0,1st,Southampton,United States,120.0,1.0,2.0,yes
211,male,28.0,3rd,Southampton,England,7.05,0.0,0.0,no
212,male,49.0,1st,Southampton,United States,26.0,0.0,0.0,no
213,female,36.0,1st,Cherbourg,United States,27.1405,0.0,0.0,yes
214,female,25.0,1st,Southampton,United States,78.17,1.0,0.0,yes
215,male,36.0,1st,Southampton,England,78.17,1.0,0.0,no
216,male,24.0,3rd,Southampton,,8.01,0.0,0.0,no
217,male,46.0,1st,Southampton,United States,61.0306,1.0,0.0,no
218,female,47.0,1st,Southampton,United States,61.0306,1.0,0.0,yes
219,male,27.0,1st,Southampton,United States,53.02,1.0,0.0,yes
220,female,32.0,1st,Southampton,United States,53.02,1.0,0.0,yes
221,male,52.0,2nd,Southampton,United States,13.1,0.0,0.0,no
222,male,37.0,2nd,Southampton,England,26.0,1.0,0.0,no
223,female,29.0,2nd,Southampton,England,26.0,1.0,0.0,no
224,male,20.0,3rd,Queenstown,Ireland,7.1408,0.0,0.0,no
225,female,36.0,1st,Cherbourg,,262.0706,0.0,0.0,yes
226,female,30.0,1st,Southampton,England,86.1,0.0,0.0,yes
227,male,45.0,1st,Cherbourg,Belgium,29.14,0.0,0.0,yes
228,female,48.0,1st,Southampton,England,55.0,0.0,1.0,yes
229,male,32.0,3rd,Southampton,,56.0911,0.0,0.0,yes
230,male,43.0,1st,Belfast,Scotland,,0.0,0.0,no
231,male,29.0,3rd,Southampton,England,8.01,0.0,0.0,no
232,female,25.0,2nd,Southampton,England,30.0,1.0,1.0,yes
233,female,52.0,2nd,Southampton,England,30.0,0.0,2.0,yes
234,male,26.0,3rd,Cherbourg,,14.0901,1.0,0.0,no
235,male,21.0,3rd,Cherbourg,,14.0901,1.0,0.0,no
236,male,29.0,2nd,Southampton,England,26.0,1.0,0.0,no
237,male,28.0,2nd,Southampton,England,,,,no
238,female,28.0,2nd,Southampton,England,27.0,1.0,0.0,yes
239,female,26.0,1st,Cherbourg,United States,136.1507,1.0,0.0,yes
240,male,27.0,1st,Cherbourg,United States,136.1507,1.0,0.0,no
241,female,22.0,1st,Southampton,England,151.16,0.0,0.0,yes
242,male,40.0,1st,Southampton,United States,52.0,0.0,0.0,no
243,male,20.0,3rd,Southampton,,7.01,0.0,0.0,no
244,male,18.0,3rd,Southampton,England,8.01,0.0,0.0,yes
245,male,24.0,3rd,Queenstown,Ireland,7.05,0.0,0.0,no
246,male,24.0,3rd,Southampton,Bulgaria,7.1711,0.0,0.0,no
247,male,29.0,2nd,Southampton,England,10.1,0.0,0.0,no
248,male,27.0,2nd,Southampton,Finland,13.0,0.0,0.0,no
249,male,25.0,2nd,Southampton,England,10.1,0.0,0.0,yes
250,male,37.0,1st,Southampton,Ireland,25.1109,0.0,0.0,no
251,female,8.0,2nd,Southampton,England,26.05,0.0,2.0,yes
252,male,31.0,2nd,Southampton,England,26.05,1.0,1.0,no
253,female,30.0,2nd,Southampton,England,26.05,1.0,1.0,yes
254,male,36.0,3rd,Southampton,Bulgaria,7.1711,0.0,0.0,no
255,female,39.0,1st,Cherbourg,United States,83.0302,1.0,1.0,yes
256,male,37.0,1st,Cherbourg,United States,83.0302,1.0,1.0,no
257,female,64.0,1st,Cherbourg,United States,83.0302,0.0,2.0,yes
258,male,31.0,3rd,Queenstown,United States,7.1408,0.0,0.0,no
259,male,40.0,3rd,Queenstown,Ireland,7.15,0.0,0.0,no
260,female,23.0,3rd,Queenstown,Ireland,7.15,0.0,0.0,yes
261,female,41.0,3rd,Queenstown,Ireland,7.1207,0.0,0.0,no
262,male,66.0,3rd,Queenstown,Ireland,7.15,0.0,0.0,no
263,male,43.0,3rd,Southampton,,8.01,0.0,0.0,no
264,female,22.0,2nd,Southampton,England,10.1,0.0,0.0,yes
265,female,30.0,2nd,Southampton,United States,13.0,0.0,0.0,no
266,female,32.0,2nd,Southampton,,21.0,0.0,0.0,no
267,male,35.0,3rd,Southampton,Croatia (Modern),7.1711,0.0,0.0,no
268,male,27.0,3rd,Southampton,Hungary,7.1711,0.0,0.0,no
269,male,19.0,3rd,Southampton,Hungary,7.1711,0.0,0.0,no
270,male,30.0,3rd,Southampton,Poland,8.01,0.0,0.0,no
271,female,55.0,1st,Southampton,United States,25.141,2.0,0.0,yes
272,female,16.0,3rd,Queenstown,Ireland,7.15,0.0,0.0,yes
